,Algorithm Name,Cold Start Miss avg,Cold Start Miss sd,Conflict Miss avg,Conflict Miss sd,Hit/Miss Ratio avg,Hit/Miss Ratio sd,Indices Coverage avg,Indices Coverage sd,Address Variety avg,Address Variety sd
0,rand,6.329761904761905,3.3887936229453697,2.725127551020408,3.041319749411722,0.043214151329585,0.0970077083720119,0.49688529708758505,0.35747201994700734,0.9347749256837267,0.13417580611408864
1,hitNmiss,4.390263605442177,2.116778323921544,1.364455782312925,1.8425396550342934,0.38863523806125844,0.1276418963252168,0.41178352200255103,0.3537640479470091,0.6000666983479483,0.1311223637486697
2,boost,3.781377551020408,1.7183087213634347,0.9677295918367347,1.3923754580663052,0.49301032501606484,0.10920760942353833,0.3779818372661565,0.34594407393242205,0.5009903569597447,0.11127170072314396
3,bound,5.115093537414966,2.273559674017467,3.5293367346938775,2.776981651946002,0.08093466694869755,0.11766587236308881,0.44898490646258504,0.354913802475366,0.8782788276538278,0.15483289861534003
